Clause Text,Risk Category,Actionable Risk Points
The consultant shall not assign the Agreement without the prior written consent of the company.,Legal Risk,Unauthorized assignment or transfer; potential contract invalidation.
The company is not responsible for any damages caused by force majeure events.,Operational Risk,Unclear force majeure clause; potential for non-compliance.
The parties agree that any disputes will be resolved through arbitration in a foreign jurisdiction.,Legal Risk,Jurisdictional conflict; potential for unfair arbitration.
The employee agrees to not disclose any confidential information for 10 years after termination.,Compliance Risk,Overly restrictive non-disclosure terms; potential for unenforceability.
"The contractor shall complete all services within 30 days, failing which penalties will apply.",Operational Risk,Unrealistic timeline; financial penalties may be excessive.
"The payment terms include a 50% upfront fee, with the remaining balance due on completion.",Financial Risk,Excessive upfront payments; financial instability for the client.
The contract may be terminated by either party with a 30-day notice.,Legal Risk,Unclear termination terms; potential for sudden termination.
The company reserves the right to change the terms of the contract at any time.,Operational Risk,Unilateral changes to contract terms; lack of mutual agreement.
Any work performed outside the scope of this contract will not be compensated.,Operational Risk,Scope creep; potential for disputes over additional work.
The client is responsible for providing all necessary materials and access to facilities.,Operational Risk,Unclear responsibilities; potential for delays if client fails to provide necessary items.
Late payments will incur a 10% interest fee per month.,Financial Risk,Excessive interest rate; potential for financial hardship.
Neither party will be held liable for indirect or consequential damages.,Legal Risk,Exclusion of liability; potential for unfair burden on one party.
The contract is valid for one year and may be renewed at the company's discretion.,Legal Risk,Unilateral renewal terms; potential for abuse.
Any intellectual property created during the contract will remain the property of the company.,Compliance Risk,Unfair intellectual property ownership; potential for exploitation.
The consultant will work exclusively for the company during the contract period.,Legal Risk,Restrictive employment terms; potential for limiting the consultant’s future opportunities.
The employee agrees to submit to random drug tests at any time during employment.,Compliance Risk,Invasion of privacy; potential for discrimination.
Any breach of the contract will result in immediate termination without compensation.,Legal Risk,Unilateral termination clause; potential for unjust termination.
Payment for services rendered will only be made upon successful completion of the project.,Financial Risk,Payment delays; potential for disputes over project completion.
Both parties agree to keep the terms of this contract confidential.,Compliance Risk,Potential for breach of confidentiality.
